Headline,Link
No bar on granting anticipatory bail for offence committed under 2019 law on triple talaq: SC,https://economictimes.indiatimes.com/news/politics-and-nation/no-bar-on-granting-anticipatory-bail-for-offence-committed-under-2019-law-on-triple-talaq-sc/articleshow/80070069.cms
6 hurt in grenade attack in J&K's Pulwama,https://economictimes.indiatimes.com/news/defence/6-hurt-in-grenade-attack-in-jks-pulwama/articleshow/80070146.cms
"Innovation, integrity, inclusion will help build Atmanirbhar Bharat: Narendra Modi",https://economictimes.indiatimes.com/news/politics-and-nation/innovation-integrity-inclusion-will-help-build-atmanirbhar-bharat-narendra-modi/articleshow/80070179.cms
Japan's military unit to make pilot-less fighter planes to counter China,https://economictimes.indiatimes.com/news/defence/japans-military-unit-to-make-pilot-less-fighter-planes-to-counter-china/articleshow/80070204.cms
All passengers from UK to be tested for COVID-19 on arrival between Jan 8-Jan 30: Health ministry,https://economictimes.indiatimes.com/news/politics-and-nation/all-passengers-from-uk-to-be-tested-for-covid-19-on-arrival-between-jan-8-jan-30-health-ministry/articleshow/80070358.cms
TVS Motor sales up 17.5 per cent in December,https://economictimes.indiatimes.com/markets/stocks/news/tvs-motor-sales-up-17-5-per-cent-in-december/articleshow/80070549.cms
TVS Motor sales up 17.5 per cent in December,https://economictimes.indiatimes.com/industry/auto/two-wheelers-three-wheelers/tvs-motor-sales-up-17-5-per-cent-in-december/articleshow/80070406.cms
India's first cultural diplomat to US returns home after three-year tenure,https://economictimes.indiatimes.com/news/politics-and-nation/indias-first-cultural-diplomat-to-us-returns-home-after-three-year-tenure/articleshow/80070494.cms
Dry run for COVID-19 vaccination underway in West Bengal,https://economictimes.indiatimes.com/news/politics-and-nation/dry-run-for-covid-19-vaccination-underway-in-west-bengal/articleshow/80070518.cms
"Will quit politics if I fail to prove graft charges against Tamil Nadu Minister, says Stalin",https://economictimes.indiatimes.com/news/politics-and-nation/will-quit-politics-if-i-fail-to-prove-graft-charges-against-tamil-nadu-minister-says-stalin/articleshow/80070721.cms
Modi's high approval rating a matter of pride for all Indians: J P Nadda,https://economictimes.indiatimes.com/news/politics-and-nation/modis-high-approval-rating-a-matter-of-pride-for-all-indians-j-p-nadda/articleshow/80070635.cms
"LVMH & Tiffany make up, seal the deal for $15.8 bn",https://economictimes.indiatimes.com/magazines/panache/lvmh-tiffany-make-up-seal-the-deal-for-15-8-bn/articleshow/80070630.cms
Dry run for COVID-19 vaccination held in Kerala,https://economictimes.indiatimes.com/news/politics-and-nation/dry-run-for-covid-19-vaccination-held-in-kerala/articleshow/80070811.cms
When to book profit and when to sit tight? Learn it from the Great Bear of Wall Street,https://economictimes.indiatimes.com/markets/stocks/news/when-to-book-profit-and-when-to-sit-tight-learn-it-from-the-great-bear-of-wall-street/articleshow/80070910.cms
Toilet soaps top advertising category on GECs: TAM Media Research,https://economictimes.indiatimes.com/industry/services/advertising/toilet-soaps-top-advertising-category-on-gecs-tam-media-research/articleshow/80071005.cms
COVID-19 vaccine to be given to people in Delhi for free once it arrives: Health Minister Jain,https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/covid-19-vaccine-to-be-given-to-people-in-delhi-for-free-once-it-arrives-health-minister-jain/articleshow/80071049.cms
"BCCI says no breach of COVID-19 protocols, rubbishes Australian media reports",https://economictimes.indiatimes.com/news/sports/bcci-says-no-breach-of-covid-19-protocols-rubbishes-australian-media-reports/articleshow/80071175.cms
Dalal Street week ahead: Nifty likely to consolidate now; select pockets may perform,https://economictimes.indiatimes.com/markets/stocks/news/dalal-street-week-ahead-nifty-likely-to-consolidate-now-select-pockets-may-perform/articleshow/80071219.cms
Scientists outline steps for safely receiving COVID-19 vaccine,https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/scientists-outline-steps-for-safely-receiving-covid-19-vaccine/articleshow/80071335.cms
"Sourav Ganguly suffers 'mild' heart attack, undergoes angioplasty",https://economictimes.indiatimes.com/news/sports/sourav-ganguly-suffers-mild-cardiac-arrest-stable/articleshow/80071374.cms
"Labour Ministry seeks feedback on draft model standing orders for manufacturing, mining, service sectors",https://economictimes.indiatimes.com/news/economy/policy/labour-ministry-seeks-feedback-on-draft-model-standing-orders-for-manufacturing-mining-service-sectors/articleshow/80071344.cms
Will hold tractor parade towards Delhi on January 26 if demands not met: Farmer unions,https://economictimes.indiatimes.com/news/politics-and-nation/will-hold-tractor-parade-towards-delhi-on-january-26-if-demands-not-met-farmer-unions/articleshow/80071450.cms
Mamata condoles demise of Buta Singh,https://economictimes.indiatimes.com/news/politics-and-nation/mamata-condoles-demise-of-buta-singh/articleshow/80071499.cms
Sebi order unlikely to impact RIL stock much,https://economictimes.indiatimes.com/markets/expert-view/sebi-order-unlikely-to-impact-ril-stock-much/articleshow/80071547.cms
Mumbai attack mastermind and LeT operations commander Lakhvi arrested in Pakistan: Official,https://economictimes.indiatimes.com/news/defence/mumbai-attack-mastermind-and-let-operations-commander-lakhvi-arrested-in-pakistan-official/articleshow/80071834.cms
"India-UK flights to restart from Jan 6, UK-India services from Jan 8: Hardeep Singh Puri",https://economictimes.indiatimes.com/industry/transportation/airlines-/-aviation/india-uk-flights-to-restart-from-jan-6-uk-india-services-from-jan-8-hardeep-singh-puri/articleshow/80071995.cms
